Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-Aug-25,1993.1,1994.35,1957.6,1964.75,1968.44072,220049,10893,433153412,108382,49.25,36.75,-28.35
21-Aug-25,1997.8,1997.8,1983.4,1990.2,1990.160852,287307,7367,571787144,125197,43.58,14.4,-7.6
20-Aug-25,1986,1992.4,1979.5,1988,1984.896825,319041,19240,633263468,233594,73.22,12.9,2
19-Aug-25,1998,2005.85,1987.05,1991.25,1992.99159,1014606,23079,2022101225,171384,16.89,18.8,-6.75
18-Aug-25,2005.6,2025.85,1995.45,2003.65,2007.853299,283576,14195,569379007,175964,62.05,30.4,-1.95
14-Aug-25,1989.7,1996.65,1971.7,1991.4,1991.503523,170296,6496,339145084,115996,68.11,24.95,1.7
13-Aug-25,1980.05,1987.95,1969,1979.35,1974.322747,1034184,9420,2041812996,240281,23.23,18.95,-0.7
12-Aug-25,1990.35,1996,1967.65,1969.95,1977.300356,288268,12134,569992419,93753,32.52,28.35,-20.4
11-Aug-25,1973.25,1998.35,1973.25,1996,1985.484291,284368,14361,564608197,193075,67.9,25.1,22.75
08-Aug-25,1989.95,1992.3,1970,1973.05,1977.434547,353046,16510,698125357,265832,75.3,22.3,-16.9
07-Aug-25,1979.95,2001.55,1976.3,1995.4,1984.077853,267736,11306,531209068,204502,76.38,25.25,15.45
06-Aug-25,1971,1988.15,1970.1,1983,1978.788079,232742,6905,460547095,169419,72.79,18.05,12
05-Aug-25,1987,1993.4,1967,1976.6,1977.80116,1245880,18354,2464102909,92557,7.43,26.4,-10.4
04-Aug-25,2013,2018.9,1988,1992.25,2004.788891,232638,11411,466390078,105144,45.2,30.9,-20.75
01-Aug-25,2015,2027.55,2010,2012.25,2013.709863,510862,10529,1028727848,404453,79.17,17.55,-2.75
31-Jul-25,2011.05,2030.5,2008.25,2018.7,2020.79247,177878,6713,359454523,107397,60.38,22.25,7.65
30-Jul-25,2036.3,2036.3,2017.45,2025.6,2023.800814,97286,6231,196887486,58572,60.21,18.85,-10.7
29-Jul-25,2001.95,2027.05,1998,2022.3,2019.581696,1167333,29515,2357524360,326734,27.99,29.05,20.35
28-Jul-25,2006.5,2021,2000.15,2008.05,2010.988481,325983,15530,655548058,123201,37.79,20.85,1.55
25-Jul-25,2014,2015,1999.05,2004.5,2002.946912,193019,7552,386606810,47977,24.86,15.95,-9.5
24-Jul-25,2033.05,2035,2009,2014,2017.50122,216771,9889,437335757,115299,53.19,26,-19.05
23-Jul-25,2014.15,2029.7,2002.55,2024.6,2016.606812,138987,6293,280282131,93523,67.29,27.15,10.45
22-Jul-25,2010.05,2017.8,2002.9,2006.75,2007.479954,1954937,28117,3924496838,669758,34.26,14.9,-3.3
21-Jul-25,1976.95,2002.3,1976.95,2000.2,1994.58018,1122204,36599,2238325856,355499,31.68,25.35,23.25
18-Jul-25,1990,1997.75,1953,1957.4,1967.923455,388697,9970,764925943,209700,53.95,44.75,-32.6
17-Jul-25,2000.05,2003,1983.05,1986.6,1996.783072,1075894,9216,2148326926,959641,89.19,19.95,-13.45
16-Jul-25,2014.2,2021.9,1993,1996.2,2003.106308,504767,9916,1011101962,359139,71.15,28.9,-18
15-Jul-25,1976.95,2003,1974.6,1995.3,1995.576581,1246105,18024,2486697956,197473,15.85,28.4,18.35
14-Jul-25,1983.55,1989.1,1970.55,1983,1976.733975,104678,3981,206920559,62374,59.59,18.55,-0.55
11-Jul-25,1997,2004.85,1982,1983.55,1988.233571,101211,6300,201231108,64034,63.27,22.85,-13.45
10-Jul-25,2013.05,2016.75,2000.3,2006.45,2007.448222,234993,5047,471736280,185163,78.8,16.45,-6.6
09-Jul-25,1999.95,2013.25,1998.15,2010.6,2005.622915,691541,10421,1386970476,557607,80.63,15.1,10.65
08-Jul-25,1978,2005.6,1978,2001.5,1998.887939,1464788,11488,2927947066,840395,57.37,27.6,23.5
07-Jul-25,1989.2,1998.1,1983.65,1987.25,1987.813994,210348,5994,418132698,153132,72.8,14.45,-1.95
04-Jul-25,1987,2004.25,1979.2,1989.25,1985.747977,388857,12654,772172001,211777,54.46,25.05,2.25
03-Jul-25,1991.15,2007.9,1984,1985.65,1995.486628,286447,8427,571601158,218586,76.31,23.9,-5.5
02-Jul-25,2020,2020,1977.4,1985.7,1990.98522,193979,6504,386209322,83605,43.1,42.6,-34.3
01-Jul-25,2003.1,2015.35,2003.1,2011.95,2010.711473,2209210,30229,4442083893,369406,16.72,12.25,8.85
30-Jun-25,2008.05,2013.95,1995,2000.7,2000.924962,211947,10779,424090043,44347,20.92,18.95,-7.35
27-Jun-25,2014,2019.8,1993.05,2014.4,2009.179517,234541,11784,471234973,130034,55.44,26.75,0.4
26-Jun-25,1980,2027.4,1980,2023,2007.517909,346092,9960,694785888,192618,55.66,47.4,43
25-Jun-25,1972.35,1982,1962.9,1980.2,1977.041291,126857,4440,250801527,65600,51.71,19.1,7.85
24-Jun-25,1960.2,1978.85,1955.25,1960.5,1961.791299,2465329,35231,4836460982,228292,9.26,23.6,0.3
23-Jun-25,1946.4,1957.5,1942.1,1947.8,1948.621244,231653,10245,451403957,121688,52.53,15.4,1.4
20-Jun-25,1934.5,1969.15,1931.8,1965.7,1957.222647,321963,12325,630153275,151977,47.2,37.35,31.2
19-Jun-25,1930.25,1946,1927,1934.8,1938.694166,152720,5661,296077373,101146,66.23,19,4.55
18-Jun-25,1921.9,1935.7,1918.5,1933.9,1927.566961,195382,5724,376611888,131914,67.52,17.2,12
17-Jun-25,1941.95,1941.95,1919.55,1929.6,1927.305425,1206170,20564,2324657985,199905,16.57,22.4,-12.35
16-Jun-25,1920.05,1938.75,1920.05,1935.05,1932.865601,306900,13734,593196453,128718,41.94,18.7,15
13-Jun-25,1910,1932.55,1910,1917.25,1919.365131,199742,16296,383377830,118937,59.55,22.55,7.25
12-Jun-25,1950,1961,1935.15,1941.95,1944.681399,165128,5808,321121350,112260,67.98,25.85,-8.05
11-Jun-25,1966,1966.1,1947,1949.6,1957.511289,140662,8888,275347453,70600,50.19,19.1,-16.4
10-Jun-25,1983,1983,1961.1,1965.9,1967.328297,331697,13053,652556894,55696,16.79,21.9,-17.1
09-Jun-25,1987.05,1993.95,1976.35,1978.6,1980.956166,577180,21542,1143368280,387371,67.11,17.6,-8.45
06-Jun-25,1945.9,1996.3,1942.3,1978.7,1973.040965,957699,26923,1889579359,536543,56.02,54,32.8
05-Jun-25,1950,1959.45,1940.8,1950.9,1951.150392,214433,7100,418391032,140008,65.29,18.65,0.9
04-Jun-25,1917.05,1943.55,1917.05,1940.8,1936.010347,173475,7790,335849395,97969,56.47,26.5,23.75
03-Jun-25,1937,1952.3,1920,1925.25,1931.557511,1315192,38219,2540368986,151794,11.54,32.3,-11.75
02-Jun-25,1934.75,1935.7,1908,1932.85,1927.162671,257416,11182,496082506,51551,20.03,27.7,-1.9
30-May-25,1925.1,1948.6,1925.1,1944.6,1937.583178,341757,10976,662182614,237063,69.37,23.5,19.5
29-May-25,1939.85,1940.75,1907.1,1928.9,1919.437337,285377,10545,547763269,129803,45.48,33.65,-10.95
28-May-25,1922,1934.25,1918,1923.8,1922.731434,134589,9770,258778501,67332,50.03,16.25,1.8
27-May-25,1933.95,1948.2,1916.05,1926.65,1927.576656,1156817,26639,2229853445,255598,22.09,32.15,-7.3
26-May-25,1933,1949.9,1927.05,1939.95,1936.805536,338479,12309,655568001,204732,60.49,22.85,6.95
23-May-25,1920.25,1936.95,1914.85,1933.55,1930.215098,290510,9140,560746788,197799,68.09,22.1,13.3
22-May-25,1915,1923.95,1905.55,1920.25,1914.528817,123260,6007,235984822,30560,24.79,18.4,5.25
21-May-25,1925.65,1946.65,1921.35,1926.6,1932.965942,209057,6111,404100061,109889,52.56,25.3,0.95
20-May-25,1928,1935.8,1912.95,1914.35,1917.725925,344099,16141,659887573,77647,22.57,22.85,-13.65
19-May-25,1941.65,1945,1931.25,1938.7,1938.488786,312335,8738,605457895,88055,28.19,13.75,-2.95
16-May-25,1930.3,1943.15,1928.1,1933.65,1935.944798,641133,6623,1241198096,540970,84.38,15.05,3.35
15-May-25,1910.65,1944.1,1897,1933.75,1923.540726,254933,13039,490374008,130085,51.03,47.1,23.1
14-May-25,1923.95,1930.2,1903.15,1910.8,1914.514099,165682,9572,317200525,71361,43.07,27.05,-13.15
13-May-25,1944.05,1962.3,1920.5,1923.1,1928.072623,538724,15097,1038698996,270780,50.26,41.8,-20.95
12-May-25,1920,1960,1914,1957.55,1951.533947,327403,7330,638938069,220755,67.43,46,37.55
09-May-25,1905.15,1919,1886.45,1889.2,1897.465732,107594,6927,204155928,52718,49,32.55,-15.95
08-May-25,1955,1955,1918.1,1926.3,1935.140137,331040,4447,640608791,280410,84.71,36.9,-28.7
07-May-25,1930.6,1948.65,1922.3,1944.65,1937.878633,123501,5400,239329949,79474,64.35,26.35,14.05
06-May-25,1935.95,1939.45,1924,1930.55,1931.418473,172594,5075,333351240,83039,48.11,15.45,-5.4
05-May-25,1938.8,1952,1933,1936.15,1939.979188,268311,9518,520517756,215256,80.23,19,-2.65
02-May-25,1930,1941.85,1920.6,1924.55,1931.315402,205709,12939,397288960,151894,73.84,21.25,-5.45
30-Apr-25,1914.45,1936.4,1910.2,1923.75,1924.416716,233615,6531,449572611,164464,70.4,26.2,9.3
29-Apr-25,1924.85,1929,1900,1908.25,1907.049556,280226,7217,534404869,178653,63.75,29,-16.6
28-Apr-25,1910,1929.45,1909.95,1919.4,1923.102528,327548,12230,629908387,256064,78.18,19.5,9.4
25-Apr-25,1922.05,1933,1891.9,1910.35,1907.363392,338662,11501,645951501,239082,70.6,41.1,-11.7
24-Apr-25,1911.95,1924,1903.55,1916.35,1916.213346,282082,8611,540529293,182619,64.74,20.45,4.4
23-Apr-25,1969.3,1977.95,1920.2,1923.1,1947.782714,1208335,25925,2353574026,956845,79.19,57.75,-46.2
22-Apr-25,1940,1970.65,1935.2,1961.9,1957.88365,890620,31576,1743730336,530514,59.57,35.45,21.9
21-Apr-25,1922.05,1950,1911.6,1927.55,1930.023508,494637,22478,954661038,252687,51.09,38.4,5.5
17-Apr-25,1879.05,1919.35,1877.75,1906.55,1898.162959,408716,14400,775809572,264744,64.77,41.6,27.5
16-Apr-25,1882,1882.05,1861,1877.9,1869.802384,358007,15335,669402342,249095,69.58,21.05,-4.1
15-Apr-25,1870.15,1875.9,1854.45,1864.9,1866.407918,1027801,15067,1918295925,885218,86.13,21.45,-5.25
11-Apr-25,1774,1818.95,1774,1806.6,1806.043167,344590,17706,622344415,185987,53.97,44.95,32.6
09-Apr-25,1767.75,1773.4,1753.45,1765.5,1759.051005,280853,6936,494034752,231971,82.6,19.95,-2.25
08-Apr-25,1764.1,1782,1750.6,1769.1,1768.287669,507374,15461,897183188,215479,42.47,31.4,5
07-Apr-25,1760,1779.6,1738.05,1758.15,1753.573781,784420,11475,1375538345,648000,82.61,41.55,-1.85
04-Apr-25,1808,1842.2,1807.95,1817,1825.720749,262330,11728,478941324,107297,40.9,34.25,9
03-Apr-25,1779.05,1803.85,1776.7,1793.7,1794.324004,219013,9740,392980283,127132,58.05,27.15,14.65
02-Apr-25,1767.3,1799.3,1767.3,1797.4,1790.0678,119365,4904,213671443,47555,39.84,32,30.1
01-Apr-25,1800,1810,1765,1767.3,1781.104387,511068,22419,910265457,161386,31.58,45,-32.7
28-Mar-25,1830,1836.4,1806.75,1828.5,1821.373898,348897,9666,635471889,270202,77.44,29.65,-1.5
27-Mar-25,1799.5,1840.5,1798.7,1825.25,1827.506822,186393,7323,340634479,91961,49.34,41.8,25.75
26-Mar-25,1824,1827.5,1802.5,1805.95,1815.807629,240192,13951,436142466,134132,55.84,25,-18.05
25-Mar-25,1801.25,1843.9,1801.25,1821.45,1826.267303,711824,29685,1299980897,265202,37.26,42.65,20.2
24-Mar-25,1780,1804,1773.45,1801.15,1794.580664,126190,8431,226458134,61386,48.65,30.55,21.15
21-Mar-25,1749.55,1773.95,1749.55,1769.85,1766.143558,79048,6079,139610116,29493,37.31,24.4,20.3
20-Mar-25,1750.2,1773.25,1749.15,1767.3,1759.299833,120267,5207,211585713,66366,55.18,24.1,17.1
19-Mar-25,1734,1750.35,1732,1743.85,1742.990973,152217,7294,265312857,82805,54.4,18.35,9.85
18-Mar-25,1724.25,1737.5,1715.5,1733.15,1728.858156,146908,9025,253983094,70884,48.25,22,8.9
17-Mar-25,1705.8,1724,1705.4,1709.9,1713.642,97366,9059,166850467,52653,54.08,18.6,4.1
13-Mar-25,1714.9,1720.5,1700,1705.8,1709.765389,257562,28463,440370593,195363,75.85,20.5,-9.1
12-Mar-25,1688.85,1719,1688.85,1711.85,1708.074558,884523,4882,1510831232,809049,91.47,30.15,23
11-Mar-25,1684.3,1694.4,1670.3,1684.95,1685.659458,118232,8224,199298889,33986,28.75,24.1,0.65
10-Mar-25,1688.35,1699.4,1683,1687.05,1689.919849,150454,14067,254255201,89598,59.55,16.4,-1.3
